Year,Employee Tax Paid,Employer Match,Total Contribution,Annual Return %,Investment Gain,Year End Balance
1972,166.00,166.00,332.00,15.88,52.72,384.72
1973,890.00,890.00,1780.00,-17.37,-376.01,1788.71
1974,1919.00,1919.00,3838.00,-29.64,-1667.76,3958.95
1975,4968.00,4968.00,9936.00,31.49,4375.52,18270.47
1976,5446.00,5446.00,10892.00,19.18,5593.36,34755.84
1977,6006.00,6006.00,12012.00,-11.53,-5392.33,41375.50
1978,7079.00,7079.00,14158.00,1.06,588.66,56122.16
1979,9641.00,9641.00,19282.00,12.31,9282.25,84686.41
1980,16030.00,16030.00,32060.00,25.85,30178.95,146925.36
1981,18269.00,18269.00,36538.00,-9.73,-17850.98,165612.37
1982,3560.00,3560.00,7120.00,15.49,26756.24,199488.62
1983,5142.00,5142.00,10284.00,17.06,35787.21,245559.83
1984,12148.00,12148.00,24296.00,1.15,3103.34,272959.17
1985,10917.00,10917.00,21834.00,26.33,77619.04,372412.21
1986,20787.00,20787.00,41574.00,14.62,60524.78,474511.00
1987,30064.00,30064.00,60128.00,2.03,10853.17,545492.17
1988,39574.00,39574.00,79148.00,12.40,77455.38,702095.55
1989,39396.00,39396.00,78792.00,27.25,212791.86,993679.40
1990,47049.00,47049.00,94098.00,-6.56,-71358.20,1016419.21
1991,57953.00,57953.00,115906.00,26.31,297914.76,1430239.97
1992,62700.00,62700.00,125400.00,4.46,69381.54,1625021.51
1993,67971.00,67971.00,135942.00,7.06,124324.02,1885287.53
1994,56415.00,56415.00,112830.00,-1.54,-30771.01,1967346.52
1995,62981.00,62981.00,125962.00,34.11,714027.54,2807336.06
1996,87541.00,87541.00,175082.00,20.26,604237.90,3586655.96
1997,99524.00,99524.00,199048.00,31.01,1173946.80,4959650.76
1998,167336.00,167336.00,334672.00,26.68,1412525.31,6706848.07
1999,188647.00,188647.00,377294.00,19.53,1383532.95,8467675.02
2000,172293.00,172293.00,344586.00,-10.14,-893563.27,7918697.75
2001,162707.00,162707.00,325414.00,-13.03,-1074207.76,7169903.99
2002,181696.00,181696.00,363392.00,-23.37,-1760531.27,5772764.72
2003,177530.00,177530.00,355060.00,26.38,1616520.16,7744344.88
2004,190739.00,190739.00,381478.00,8.88,721573.07,8847395.95
2005,154170.00,154170.00,308340.00,3.00,274672.08,9430408.03
2006,154728.00,154728.00,309456.00,13.62,1326569.48,11066433.51
2007,180603.00,180603.00,361206.00,3.53,403395.67,11831035.18
2008,157204.00,157204.00,314408.00,-38.49,-4674781.08,7470662.10
2009,101065.00,101065.00,202130.00,23.46,1800037.03,9472829.13
2010,43024.00,43024.00,86048.00,12.88,1231183.37,10790060.50
2011,97465.00,97465.00,194930.00,0.00,0.00,10984990.50
2012,48963.00,48963.00,97926.00,13.41,1486219.10,12569135.61
2013,90082.00,90082.00,180164.00,29.70,3786541.98,16535841.59
2014,141011.00,141011.00,282022.00,11.39,1915554.66,18733418.25
2015,161619.00,161619.00,323238.00,-0.73,-139113.59,18917542.66
2016,161422.00,161422.00,322844.00,9.96,1916342.51,21156729.17
2017,182545.00,182545.00,365090.00,19.42,4179537.28,25701356.46
2018,199938.00,199938.00,399876.00,-6.20,-1618276.41,24482956.05
2019,207245.00,207245.00,414490.00,28.90,7195361.91,32092807.95
2020,258650.00,258650.00,517300.00,16.40,5348057.70,37958165.66
2021,240868.00,240868.00,481736.00,26.89,10336489.56,48776391.21
2022,353654.00,353654.00,707308.00,-18.49,-9149535.98,40334163.23
2023,323219.00,323219.00,646438.00,24.26,9941893.86,50922495.09
2024,338194.00,338194.00,676388.00,23.50,12125737.53,63724620.61